2026-03-14T15:59:16.228791Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:07:20.969655Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:07:21.122200Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:07:28.256037Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:07:35.977237Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:07:43.562334Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:08:20.456502Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:08:28.253232Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:08:35.983223Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:08:43.760478Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:10:25.472441Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:10:33.253531Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:10:40.365635Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:10:47.302424Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:13:57.674407Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:14:04.868166Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:14:12.064334Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:14:19.811018Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:15:11.224142Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:15:18.913028Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:15:26.546767Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:15:27.081825Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:15:34.502838Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:15:35.063973Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:15:42.706290Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:15:50.415716Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:16:41.578212Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:16:49.157926Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:16:57.709214Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:17:05.783665Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:18:13.849361Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:18:21.979224Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:18:29.311837Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:18:34.362054Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:18:47.026267Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:18:54.549621Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:19:02.554967Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:19:07.506097Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:19:41.239219Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:19:47.479620Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:19:48.572247Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:19:54.390924Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:19:55.538527Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:20:01.558258Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:20:03.208088Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:20:09.271122Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:20:15.223514Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:20:22.203730Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:20:28.390455Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:20:35.949568Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:20:52.417790Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:00.360258Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:04.989422Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:11.622117Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:21:41.286695Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:47.721891Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:53.422241Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:22:00.362667Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:23:07.219019Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:23:14.057219Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:23:20.995827Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:23:27.808486Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
